epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2250.42,0.89273,0.58621,0.93734,0.57942,0.47297,0.52535,0.28994,1.30942,1.17087,1.15618,0.00016636,0.00016636,0.00016636
61,2287.67,0.87631,0.57467,0.9281,0.63841,0.48028,0.51772,0.30092,1.31201,1.16717,1.16176,0.0001624,0.0001624,0.0001624
62,2324.87,0.88364,0.58054,0.93135,0.55774,0.47224,0.51793,0.29961,1.29428,1.1925,1.14354,0.00015844,0.00015844,0.00015844
63,2362.15,0.8729,0.57013,0.92827,0.58197,0.47612,0.51501,0.30432,1.3004,1.20868,1.14367,0.00015448,0.00015448,0.00015448
64,2399.59,0.86319,0.55484,0.922,0.60991,0.47212,0.51315,0.30651,1.30757,1.20131,1.15649,0.00015052,0.00015052,0.00015052
65,2437.07,0.86777,0.56027,0.9251,0.53611,0.48612,0.51053,0.29231,1.31589,1.21319,1.16059,0.00014656,0.00014656,0.00014656
66,2474.43,0.8756,0.56977,0.92975,0.53873,0.48429,0.51192,0.29369,1.34359,1.26747,1.16906,0.0001426,0.0001426,0.0001426
67,2511.72,0.86609,0.5557,0.92446,0.65703,0.44925,0.51762,0.30488,1.30696,1.20134,1.15569,0.00013864,0.00013864,0.00013864
68,2549.21,0.86811,0.56179,0.92288,0.65821,0.45672,0.51423,0.30464,1.28918,1.17531,1.14446,0.00013468,0.00013468,0.00013468
69,2586.62,0.86509,0.55815,0.9248,0.67216,0.47209,0.52313,0.31007,1.26451,1.17721,1.13287,0.00013072,0.00013072,0.00013072
70,2624.43,0.85333,0.55136,0.92003,0.65851,0.45716,0.476,0.28588,1.32125,1.18756,1.15786,0.00012676,0.00012676,0.00012676
71,2661.71,0.84418,0.542,0.9146,0.60155,0.48612,0.51339,0.30174,1.30911,1.2309,1.15633,0.0001228,0.0001228,0.0001228
72,2699.44,0.84191,0.53771,0.91374,0.65916,0.48797,0.52912,0.30772,1.30106,1.21351,1.14596,0.00011884,0.00011884,0.00011884
73,2736.78,0.85741,0.5525,0.92057,0.69448,0.47439,0.51955,0.3068,1.28927,1.17216,1.14699,0.00011488,0.00011488,0.00011488
74,2774.42,0.83362,0.53763,0.9136,0.6164,0.47595,0.51024,0.30139,1.29913,1.22488,1.16067,0.00011092,0.00011092,0.00011092
75,2811.81,0.83164,0.53201,0.91568,0.73487,0.45224,0.51294,0.30059,1.29426,1.22359,1.15182,0.00010696,0.00010696,0.00010696
76,2849.34,0.82073,0.51999,0.90586,0.62888,0.47627,0.51336,0.30104,1.31268,1.20351,1.16163,0.000103,0.000103,0.000103
77,2886.63,0.82491,0.52203,0.90989,0.52253,0.50118,0.51067,0.3017,1.30438,1.20705,1.1638,9.904e-05,9.904e-05,9.904e-05
78,2923.79,0.8124,0.5124,0.90675,0.56259,0.47542,0.51786,0.30359,1.31209,1.20957,1.17191,9.508e-05,9.508e-05,9.508e-05
79,2961.28,0.82159,0.51998,0.90693,0.58274,0.5013,0.51267,0.30265,1.30941,1.25183,1.16179,9.112e-05,9.112e-05,9.112e-05
80,2998.31,0.81739,0.51908,0.90781,0.59994,0.48553,0.50876,0.30121,1.30906,1.21387,1.15667,8.716e-05,8.716e-05,8.716e-05
81,3035.91,0.81533,0.51279,0.9065,0.67311,0.47717,0.51916,0.29855,1.29483,1.213,1.14887,8.32e-05,8.32e-05,8.32e-05
82,3073.07,0.79434,0.50194,0.9024,0.72962,0.4397,0.50761,0.30126,1.30828,1.22992,1.15974,7.924e-05,7.924e-05,7.924e-05
83,3110.44,0.79676,0.50381,0.90386,0.64775,0.4548,0.50958,0.29685,1.3098,1.22602,1.15947,7.528e-05,7.528e-05,7.528e-05
84,3148.18,0.79755,0.49797,0.90134,0.64982,0.46375,0.50094,0.29821,1.31414,1.24473,1.16491,7.132e-05,7.132e-05,7.132e-05
85,3185.66,0.79481,0.4997,0.90101,0.65324,0.47422,0.51755,0.29852,1.31855,1.24061,1.16499,6.736e-05,6.736e-05,6.736e-05
86,3222.72,0.79714,0.50106,0.90419,0.67605,0.4654,0.51474,0.29808,1.29395,1.19953,1.15342,6.34e-05,6.34e-05,6.34e-05
87,3259.78,0.78653,0.49454,0.89534,0.68124,0.46937,0.52028,0.30381,1.3093,1.22182,1.16273,5.944e-05,5.944e-05,5.944e-05
88,3297.24,0.78991,0.49551,0.90125,0.62543,0.49192,0.51329,0.30229,1.31431,1.22451,1.17151,5.548e-05,5.548e-05,5.548e-05
89,3334.71,0.7912,0.49091,0.89797,0.67391,0.46434,0.5088,0.30148,1.31345,1.22327,1.16215,5.152e-05,5.152e-05,5.152e-05
90,3372.4,0.78856,0.49344,0.89918,0.6544,0.46959,0.51042,0.29645,1.30904,1.18949,1.16573,4.756e-05,4.756e-05,4.756e-05
91,3444.64,0.79533,0.46886,0.88704,0.63747,0.46984,0.49665,0.28531,1.33058,1.23869,1.18097,4.36e-05,4.36e-05,4.36e-05
92,3481.38,0.77374,0.45075,0.87762,0.62465,0.48003,0.50775,0.29151,1.31757,1.22436,1.16869,3.964e-05,3.964e-05,3.964e-05
93,3517.71,0.76212,0.43909,0.87801,0.64329,0.47676,0.51277,0.29249,1.31485,1.23897,1.16454,3.568e-05,3.568e-05,3.568e-05
94,3554.36,0.75434,0.43307,0.87129,0.6602,0.46292,0.50733,0.28989,1.31581,1.24351,1.17451,3.172e-05,3.172e-05,3.172e-05
95,3591.49,0.74985,0.43499,0.87226,0.64354,0.46916,0.5041,0.28925,1.33015,1.24948,1.18566,2.776e-05,2.776e-05,2.776e-05
96,3628.26,0.73518,0.4224,0.86899,0.63732,0.47032,0.50855,0.29514,1.32756,1.24256,1.18128,2.38e-05,2.38e-05,2.38e-05
97,3664.92,0.74127,0.42739,0.86618,0.65627,0.45714,0.50804,0.29563,1.32258,1.24845,1.18148,1.984e-05,1.984e-05,1.984e-05
98,3701.6,0.73683,0.42409,0.86803,0.65273,0.45754,0.50737,0.28905,1.32692,1.25554,1.18192,1.588e-05,1.588e-05,1.588e-05
99,3737.88,0.72976,0.41933,0.86794,0.65118,0.45484,0.50649,0.28922,1.32966,1.25994,1.18107,1.192e-05,1.192e-05,1.192e-05
100,3774.7,0.73368,0.41885,0.86793,0.6408,0.46788,0.50843,0.28991,1.3244,1.2473,1.17899,7.96e-06,7.96e-06,7.96e-06
